Target Composition (%).Co,Target Composition (%).Cr,Target Composition (%).Fe,Target Composition (%).Mn,Target Composition (%).Ni,Target Composition (%).V,Measured Composition (%).Al,Measured Composition (%).Co,Measured Composition (%).Cr,Measured Composition (%).Cu,Measured Composition (%).Fe,Measured Composition (%).Mn,Measured Composition (%).Ni,Measured Composition (%).V,XRD.Phase,XRD.Lattice Parameters,Elastic Modulus (Average),Elongation (Average),Maximum ∂2σ/∂ε2 (Average),UTS/YS Ratio (Average),Ultimate Tensile Strength (Average),Yield Strength (Average)
36,8,8,12,28,8,0,35.714666666666666,8.158666666666667,0,8.147333333333332,12.109333333333332,27.705333333333336,8.166,FCC,3.5736487,246.76295300001132,0.0,2776.391124154923,4.502226416664915,890.8566536746563,197.89208931252537
8,8,28,8,40,8,0,8.205384615384615,8.22,0,27.866923076923076,8.153846153846153,39.412307692307685,8.140000000000002,FCC,3.5845947,216.564549138733,0.0,1519.9111032093656,4.090320868442179,800.952442169822,195.83826000201
8,8,32,8,40,4,0,8.252666666666666,8.277333333333335,0,31.900666666666663,8.231333333333334,39.215333333333334,4.121333333333333,FCC,3.590236,195.87119549100402,0.0,3656.5125837924197,4.395187030588663,708.5721574430429,161.2184028575885
24,8,8,8,40,12,0,24.220666666666663,8.24,0,8.06,8.114666666666666,39.202,12.162666666666667,FCC,3.5730152,233.448679718778,0.0,1668.491421679435,4.315596670217223,1057.32360122397,245.030899078266
24,8,12,8,36,12,0,23.982666666666667,8.204666666666666,0,12.109333333333334,8.18,35.437333333333335,12.092666666666666,FCC,3.5850582,242.1826928221777,0.0,-1005.9039408727103,3.872171134509023,1052.7931032153733,272.1180909763577
12,8,8,12,48,12,0,12.145999999999999,8.258666666666665,0,8.144666666666668,12.118666666666668,47.145999999999994,12.186,FCC,3.5953739,223.303913476188,0.0,-982.8530148826635,2.623696009300791,721.0611783717708,275.250539115385
20,4,8,12,40,16,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,
36,8,8,12,28,8,0,35.842666666666666,8.181333333333333,0,8.172666666666666,12.262666666666666,27.367333333333338,8.177333333333333,FCC,3.57356,239.43724290872032,0.0,-2633.6871952259166,2.921949528212089,823.900856951796,280.84877804137335
24,12,16,8,36,4,0,23.91466666666667,12.351333333333331,0,16.15666666666667,8.164666666666667,35.28133333333333,4.1306666666666665,FCC,3.5758352,211.7628000878065,0.0,3348.72906998711,4.612136672920464,791.0362753336135,171.634079461387
44,12,8,12,20,4,0,43.46533333333333,12.262,0,8.120666666666667,12.192666666666666,19.87066666666667,4.090666666666667,FCC,3.5698102,245.22993852060551,0.0,706.634503898097,4.240217115705934,864.8776566784504,204.233111209747
16,12,12,8,40,12,0,15.991333333333333,12.352666666666668,0,12.079333333333334,8.150666666666668,39.25800000000001,12.168000000000001,FCC,3.5871623,225.304048363993,0.0,-26.226983891561503,3.7904210668882103,1054.1731424845,278.138405087326
8,4,32,8,40,8,0,8.294,4.163333333333332,0,31.994000000000007,8.148,39.206,8.195333333333332,FCC,3.591339,190.83507015685436,0.0,261.01651107210404,3.812527178549366,780.572301376986,204.94944143659566
28,12,8,8,36,8,0,27.928666666666665,12.298666666666666,0,8.099999999999998,8.19,35.28066666666666,8.198666666666668,FCC,3.583352,259.142681877768,0.0,1120.5071486010686,3.9519363325638817,895.6656926041131,226.069754780405
36,8,8,12,28,8,0,35.91733333333333,8.267999999999999,0,8.156666666666668,12.148666666666665,27.29933333333333,8.216,FCC,3.582482,235.29236321338152,0.0,-1922.0050747126152,3.4969434061599207,1027.114459091343,294.019961155018
