Target Composition (%).Co,Target Composition (%).Cr,Target Composition (%).Fe,Target Composition (%).Mn,Target Composition (%).Ni,Target Composition (%).V,Elastic Modulus.b,Elongation.b,Maximum ∂2σ/∂ε2.b,UTS/YS Ratio.b,Ultimate Tensile Strength.b,Yield Strength.b,Elastic Modulus.c,Elongation.c,Maximum ∂2σ/∂ε2.c,UTS/YS Ratio.c,Ultimate Tensile Strength.c,Yield Strength.c,Measured Composition (%).Al,Measured Composition (%).Co,Measured Composition (%).Cr,Measured Composition (%).Cu,Measured Composition (%).Fe,Measured Composition (%).Mn,Measured Composition (%).Ni,Measured Composition (%).V,XRD.Phase,XRD.Lattice Parameters,Elastic Modulus.d,Elongation.d,Maximum ∂2σ/∂ε2.d,UTS/YS Ratio.d,Ultimate Tensile Strength.d,Yield Strength.d
36,8,8,12,28,8,253.910938431998,0.0,2904.98409768771,4.50154463742651,904.508498502466,200.932917777211,251.419583158964,0.0,2820.90217010263,4.5645368798886325,885.595201439691,194.016441260805,0,35.714666666666666,8.158666666666667,0,8.147333333333332,12.109333333333332,27.705333333333336,8.166,FCC,3.5736487,234.958337409072,0.0,2603.28710467443,4.440597732679603,882.466261081812,198.72690889956
8,8,28,8,40,8,217.456853585466,0.0,2472.03267668533,4.140533934520128,803.546015870601,194.068211631196,215.672244692,0.0,567.789529733401,4.04010780236423,798.358868469043,197.608308372824,0,8.205384615384615,8.22,0,27.866923076923076,8.153846153846153,39.412307692307685,8.140000000000002,FCC,3.5845947,,,,,,
8,8,32,8,40,4,196.59783922819,0.0,5256.28182807365,4.409519444030273,706.934277975685,160.320027374582,195.144551753818,0.0,2056.74333951119,4.380854617147053,710.210036910401,162.116778340595,0,8.252666666666666,8.277333333333335,0,31.900666666666663,8.231333333333334,39.215333333333334,4.121333333333333,FCC,3.590236,,,,,,
24,8,8,8,40,12,221.037049516014,0.0,1825.24622205935,4.437721965426491,1082.62130644729,243.958795724879,245.860309921542,0.0,1511.73662129952,4.193471375007954,1032.02589600065,246.103002431653,0,24.220666666666663,8.24,0,8.06,8.114666666666666,39.202,12.162666666666667,FCC,3.5730152,,,,,,
24,8,12,8,36,12,235.221058366351,0.0,-2933.80724797022,3.6695424731751936,1020.8527189695,278.19618560953,252.957009226692,0.0,-169.508369508675,3.903404073498353,1073.62687339982,275.048868419508,0,23.982666666666667,8.204666666666666,0,12.109333333333334,8.18,35.437333333333335,12.092666666666666,FCC,3.5850582,238.37001087349,0.0,85.6037948607642,4.043566856853523,1063.8997172768,263.109218900035
12,8,8,12,48,12,221.894964186314,0.0,-3438.73453304265,2.1552695500583248,604.337787486946,280.400095417574,229.782049983751,0.0,81.6322278351593,2.958058601698802,810.734767837282,274.076641812194,0,12.145999999999999,8.258666666666665,0,8.144666666666668,12.118666666666668,47.145999999999994,12.186,FCC,3.5953739,218.234726258499,0.0,408.5432605595,2.757759876145246,748.110979791084,271.274880116387
20,4,8,12,40,16,,,,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,
36,8,8,12,28,8,231.034658754394,0.0,-4189.59497511056,2.325598335309268,647.642546032021,278.484266263415,236.048738305848,0.0,-1367.97938810038,2.83606556177268,771.392999146267,271.994064433443,0,35.842666666666666,8.181333333333333,0,8.172666666666666,12.262666666666666,27.367333333333338,8.177333333333333,FCC,3.57356,251.228331665919,0.0,-2343.48722246681,3.6041846875543184,1052.6670256771,292.068003427262
24,12,16,8,36,4,215.576709473087,0.0,4805.82478598534,4.46666992550643,783.937234218591,175.50820796988,207.948890702526,0.0,1891.63335398888,4.7576034203344975,798.135316448636,167.759950952894,0,23.91466666666667,12.351333333333331,0,16.15666666666667,8.164666666666667,35.28133333333333,4.1306666666666665,FCC,3.5758352,,,,,,
44,12,8,12,20,4,258.149100582938,0.0,107.699292280944,4.9392130088218185,1000.8715328316,202.637855675381,232.310776458273,0.0,1305.56971551525,3.5412212225900497,728.883780525301,205.828366744113,0,43.46533333333333,12.262,0,8.120666666666667,12.192666666666666,19.87066666666667,4.090666666666667,FCC,3.5698102,,,,,,
